pais,año,litros_por_persona,limite_inf,limite_sup,rango,temporada
Albania,2016,5.04,3.76,6.35,2.59,Antes
Albania,2017,5.02,3.74,6.31,2.57,Antes
Albania,2018,5.01,3.71,6.31,2.6,Antes
Albania,2019,4.89,3.65,6.3,2.65,Antes
Albania,2020,4.92,3.63,6.13,2.5,Durante
Albania,2022,4.97,3.56,6.35,2.79,Después
Andorra,2016,11.9,9.92,13.83,3.91,Antes
Andorra,2017,11.83,9.97,13.74,3.77,Antes
Andorra,2018,11.75,9.83,13.58,3.74,Antes
Andorra,2019,11.18,9.49,12.92,3.42,Antes
Andorra,2020,11.02,9.41,12.68,3.26,Durante
Andorra,2022,11.06,9.37,12.77,3.41,Después
Austria,2016,11.7,9.89,13.71,3.82,Antes
Austria,2017,11.77,9.86,13.84,3.98,Antes
Austria,2018,11.83,10.05,13.97,3.93,Antes
Austria,2019,11.85,10.06,14.02,3.97,Antes
Austria,2020,11.88,10.21,13.72,3.51,Durante
Austria,2022,11.85,10.17,13.65,3.49,Después
Belarus,2016,10.14,8.52,11.85,3.33,Antes
Belarus,2017,10.19,8.57,11.85,3.29,Antes
Belarus,2018,10.45,8.69,12.07,3.38,Antes
Belarus,2019,10.82,9.12,12.55,3.43,Antes
Belarus,2020,11.2,9.44,13.1,3.66,Durante
Belarus,2022,11.4,9.76,13.17,3.42,Después
Belgium,2016,10.39,8.82,12.02,3.2,Antes
Belgium,2017,10.02,8.46,11.56,3.1,Antes
Belgium,2018,9.91,8.29,11.5,3.21,Antes
Belgium,2019,9.61,8.06,11.4,3.34,Antes
Belgium,2020,9.22,7.53,10.82,3.3,Durante
Belgium,2022,8.74,7.2,10.27,3.07,Después
Bosnia and Herzegovina,2016,6.34,4.95,7.86,2.91,Antes
Bosnia and Herzegovina,2017,6.52,5.16,8.01,2.85,Antes
Bosnia and Herzegovina,2018,6.49,5.18,7.82,2.64,Antes
Bosnia and Herzegovina,2019,6.27,4.93,7.61,2.68,Antes
Bosnia and Herzegovina,2020,6.2,4.76,7.53,2.77,Durante
Bosnia and Herzegovina,2022,6.33,4.91,7.82,2.91,Después
Bulgaria,2016,11.4,9.6,13.19,3.59,Antes
Bulgaria,2017,11.62,9.91,13.52,3.61,Antes
Bulgaria,2018,11.6,9.84,13.4,3.55,Antes
Bulgaria,2019,11.5,9.68,13.27,3.59,Antes
Bulgaria,2020,11.44,9.56,13.37,3.81,Durante
Bulgaria,2022,11.54,9.69,13.31,3.62,Después
Croatia,2016,10.62,8.78,12.6,3.82,Antes
Croatia,2017,10.59,8.83,12.41,3.59,Antes
Croatia,2018,10.71,8.9,12.51,3.61,Antes
Croatia,2019,10.75,8.91,12.6,3.69,Antes
Croatia,2020,10.81,9.07,12.74,3.67,Durante
Croatia,2022,10.85,9.14,12.78,3.65,Después
Cyprus,2016,5.98,4.55,7.44,2.89,Antes
Cyprus,2017,6.12,4.63,7.8,3.17,Antes
Cyprus,2018,6.13,4.65,7.67,3.02,Antes
Cyprus,2019,5.79,4.41,7.31,2.9,Antes
Cyprus,2020,5.39,4.07,6.76,2.68,Durante
Cyprus,2022,5.21,3.98,6.53,2.55,Después
Czechia,2016,13.66,11.86,15.7,3.85,Antes
Czechia,2017,13.73,11.96,15.74,3.78,Antes
Czechia,2018,13.77,11.95,15.67,3.72,Antes
Czechia,2019,13.75,11.92,15.81,3.89,Antes
Czechia,2020,13.64,11.92,15.52,3.6,Durante
Czechia,2022,13.68,11.81,15.58,3.77,Después
Denmark,2016,9.86,8.25,11.79,3.53,Antes
Denmark,2017,9.82,8.09,11.68,3.6,Antes
Denmark,2018,9.67,7.99,11.44,3.45,Antes
Denmark,2019,9.71,8.11,11.43,3.32,Antes
Denmark,2020,9.93,8.28,11.64,3.35,Durante
Denmark,2022,9.97,8.36,11.77,3.4,Después
Estonia,2016,10.18,7.2,13.14,5.94,Antes
Estonia,2017,8.98,6.29,11.73,5.44,Antes
Estonia,2018,8.17,5.67,10.77,5.1,Antes
Estonia,2019,8.5,6.19,10.83,4.64,Antes
Estonia,2020,9.68,7.32,12.13,4.82,Durante
Estonia,2022,10.49,8.17,12.89,4.72,Después
Finland,2016,11.22,9.33,13.14,3.81,Antes
Finland,2017,11.07,9.21,13.11,3.9,Antes
Finland,2018,10.81,8.99,12.78,3.79,Antes
Finland,2019,10.38,8.52,12.38,3.86,Antes
Finland,2020,9.84,8.19,11.79,3.6,Durante
Finland,2022,9.51,7.78,11.19,3.4,Después
France,2016,12.41,10.65,14.24,3.59,Antes
France,2017,12.3,10.35,14.12,3.77,Antes
France,2018,12.19,10.28,14.04,3.77,Antes
France,2019,11.76,9.99,13.59,3.61,Antes
France,2020,11.43,9.6,13.24,3.64,Durante
France,2022,11.2,9.46,13.05,3.59,Después
Germany,2016,11.93,10.15,13.7,3.56,Antes
Germany,2017,11.92,10.25,13.64,3.39,Antes
Germany,2018,11.76,10.1,13.47,3.37,Antes
Germany,2019,11.57,9.87,13.42,3.55,Antes
Germany,2020,11.31,9.61,13.21,3.6,Durante
Germany,2022,11.24,9.45,12.92,3.47,Después
Greece,2016,7.44,5.94,9.0,3.06,Antes
Greece,2017,7.37,5.82,8.86,3.04,Antes
Greece,2018,7.29,5.82,8.74,2.92,Antes
Greece,2019,7.01,5.54,8.57,3.04,Antes
Greece,2020,6.96,5.53,8.41,2.88,Durante
Greece,2022,6.98,5.54,8.44,2.9,Después
Hungary,2016,11.76,9.96,13.46,3.5,Antes
Hungary,2017,11.87,10.05,13.72,3.67,Antes
Hungary,2018,11.67,9.93,13.51,3.58,Antes
Hungary,2019,11.55,9.69,13.33,3.64,Antes
Hungary,2020,11.26,9.45,13.03,3.58,Durante
Hungary,2022,11.25,9.6,13.01,3.41,Después
Iceland,2016,7.6,5.96,9.34,3.39,Antes
Iceland,2017,7.5,5.98,9.3,3.32,Antes
Iceland,2018,7.49,5.88,9.33,3.45,Antes
Iceland,2019,7.63,6.07,9.36,3.29,Antes
Iceland,2020,8.0,6.47,9.65,3.17,Durante
Iceland,2022,8.21,6.77,9.8,3.03,Después
Ireland,2016,11.38,9.69,13.17,3.47,Antes
Ireland,2017,11.47,9.64,13.24,3.61,Antes
Ireland,2018,11.31,9.62,13.1,3.47,Antes
Ireland,2019,11.02,9.22,12.86,3.64,Antes
Ireland,2020,10.63,8.84,12.33,3.49,Durante
Ireland,2022,10.55,8.73,12.2,3.47,Después
Italy,2016,7.74,6.52,9.22,2.7,Antes
Italy,2017,8.01,6.74,9.42,2.68,Antes
Italy,2018,8.26,6.94,9.71,2.77,Antes
Italy,2019,8.26,6.84,9.8,2.96,Antes
Italy,2020,8.3,6.82,9.86,3.04,Durante
Italy,2022,8.33,6.91,9.93,3.03,Después
Latvia,2016,12.91,10.51,15.6,5.09,Antes
Latvia,2017,13.23,10.87,15.97,5.1,Antes
Latvia,2018,13.64,10.98,16.18,5.2,Antes
Latvia,2019,14.1,11.68,16.56,4.88,Antes
Latvia,2020,14.66,12.39,17.24,4.85,Durante
Latvia,2022,14.73,12.63,17.3,4.67,Después
Lithuania,2016,12.48,10.42,14.45,4.02,Antes
Lithuania,2017,11.83,9.96,13.76,3.79,Antes
Lithuania,2018,11.4,9.65,13.29,3.64,Antes
Lithuania,2019,11.43,9.76,13.35,3.59,Antes
Lithuania,2020,11.98,10.18,13.83,3.65,Durante
Lithuania,2022,12.18,10.5,14.02,3.51,Después
Luxembourg,2016,11.68,9.82,13.41,3.6,Antes
Luxembourg,2017,11.64,9.89,13.49,3.6,Antes
Luxembourg,2018,11.53,9.84,13.54,3.7,Antes
Luxembourg,2019,11.25,9.61,13.19,3.58,Antes
Luxembourg,2020,10.96,9.15,12.76,3.61,Durante
Luxembourg,2022,10.8,9.08,12.61,3.53,Después
Malta,2016,7.91,6.34,9.59,3.25,Antes
Malta,2017,7.96,6.48,9.68,3.21,Antes
Malta,2018,7.78,6.17,9.51,3.34,Antes
Malta,2019,7.03,5.55,8.65,3.11,Antes
Malta,2020,6.47,5.02,7.95,2.93,Durante
Malta,2022,6.2,4.86,7.64,2.79,Después
"Moldova, Republic of",2016,11.42,9.39,13.65,4.26,Antes
"Moldova, Republic of",2017,11.7,9.79,13.87,4.09,Antes
"Moldova, Republic of",2018,11.88,9.86,14.01,4.15,Antes
"Moldova, Republic of",2019,12.32,10.34,14.5,4.16,Antes
"Moldova, Republic of",2020,13.38,11.34,15.5,4.15,Durante
"Moldova, Republic of",2022,14.13,12.09,16.29,4.19,Después
Montenegro,2016,8.91,7.29,10.74,3.45,Antes
Montenegro,2017,9.15,7.42,10.97,3.55,Antes
Montenegro,2018,9.23,7.55,10.98,3.43,Antes
Montenegro,2019,8.77,7.02,10.5,3.48,Antes
Montenegro,2020,8.32,6.66,9.9,3.24,Durante
Montenegro,2022,8.01,6.47,9.65,3.18,Después
Netherlands,2016,8.97,7.52,10.65,3.14,Antes
Netherlands,2017,8.97,7.55,10.53,2.98,Antes
Netherlands,2018,8.94,7.32,10.57,3.24,Antes
Netherlands,2019,8.77,7.25,10.38,3.13,Antes
Netherlands,2020,8.71,7.28,10.27,2.99,Durante
Netherlands,2022,8.7,7.19,10.23,3.04,Después
North Macedonia,2016,5.53,4.21,6.98,2.77,Antes
North Macedonia,2017,5.27,3.99,6.69,2.7,Antes
North Macedonia,2018,5.08,3.91,6.43,2.52,Antes
North Macedonia,2019,5.43,4.2,6.77,2.56,Antes
North Macedonia,2020,5.79,4.56,7.18,2.62,Durante
North Macedonia,2022,5.76,4.39,7.06,2.67,Después
Norway,2016,6.67,5.33,8.06,2.73,Antes
Norway,2017,6.67,5.39,8.09,2.7,Antes
Norway,2018,6.67,5.26,8.11,2.85,Antes
Norway,2019,6.9,5.57,8.27,2.71,Antes
Norway,2020,7.35,5.99,8.75,2.76,Durante
Norway,2022,7.48,6.14,8.97,2.83,Después
Poland,2016,11.81,9.93,13.57,3.64,Antes
Poland,2017,11.83,10.02,13.85,3.83,Antes
Poland,2018,11.97,10.1,13.96,3.86,Antes
Poland,2019,12.04,10.26,14.12,3.86,Antes
Poland,2020,12.11,10.35,14.05,3.71,Durante
Poland,2022,11.92,10.15,13.87,3.72,Después
Portugal,2016,11.04,9.36,12.83,3.47,Antes
Portugal,2017,11.01,9.27,12.91,3.64,Antes
Portugal,2018,11.36,9.6,13.18,3.58,Antes
Portugal,2019,10.8,9.13,12.42,3.29,Antes
Portugal,2020,10.88,9.17,12.59,3.42,Durante
Portugal,2022,11.22,9.46,12.97,3.52,Después
Romania,2016,16.89,14.33,19.51,5.18,Antes
Romania,2017,17.1,14.62,19.98,5.36,Antes
Romania,2018,17.22,14.72,19.81,5.09,Antes
Romania,2019,17.11,14.51,19.85,5.34,Antes
Romania,2020,17.09,14.33,19.57,5.24,Durante
Romania,2022,17.06,14.56,19.79,5.23,Después
Russian Federation,2016,11.21,9.12,13.15,4.04,Antes
Russian Federation,2017,10.92,8.92,12.87,3.95,Antes
Russian Federation,2018,10.72,8.8,12.72,3.93,Antes
Russian Federation,2019,10.67,8.78,12.71,3.93,Antes
Russian Federation,2020,10.56,8.65,12.61,3.96,Durante
Russian Federation,2022,10.51,8.55,12.52,3.97,Después
Serbia,2016,9.29,7.65,11.04,3.38,Antes
Serbia,2017,9.37,7.81,11.11,3.29,Antes
Serbia,2018,9.43,7.86,11.08,3.22,Antes
Serbia,2019,9.27,7.69,10.93,3.24,Antes
Serbia,2020,9.09,7.33,10.71,3.37,Durante
Serbia,2022,9.03,7.39,10.75,3.36,Después
Slovakia,2016,11.09,9.41,12.81,3.4,Antes
Slovakia,2017,11.03,9.23,12.82,3.59,Antes
Slovakia,2018,11.19,9.48,12.91,3.42,Antes
Slovakia,2019,11.25,9.49,12.93,3.43,Antes
Slovakia,2020,11.11,9.36,12.8,3.45,Durante
Slovakia,2022,10.97,9.25,12.78,3.53,Después
Slovenia,2016,11.53,9.75,13.36,3.6,Antes
Slovenia,2017,11.0,9.34,12.82,3.48,Antes
Slovenia,2018,11.15,9.4,13.02,3.62,Antes
Slovenia,2019,11.08,9.43,12.93,3.5,Antes
Slovenia,2020,11.29,9.56,13.24,3.67,Durante
Slovenia,2022,10.9,9.12,12.63,3.51,Después
Spain,2016,11.36,9.69,13.16,3.47,Antes
Spain,2017,11.34,9.65,13.17,3.51,Antes
Spain,2018,11.27,9.56,13.27,3.71,Antes
Spain,2019,10.61,8.98,12.48,3.5,Antes
Spain,2020,10.66,8.92,12.37,3.44,Durante
Spain,2022,10.97,9.24,12.66,3.42,Después
Sweden,2016,9.45,7.59,11.35,3.76,Antes
Sweden,2017,9.44,7.59,11.34,3.75,Antes
Sweden,2018,9.39,7.67,11.25,3.58,Antes
Sweden,2019,9.48,7.79,11.23,3.44,Antes
Sweden,2020,9.54,7.88,11.34,3.46,Durante
Sweden,2022,9.61,7.78,11.39,3.61,Después
Switzerland,2016,9.53,7.81,11.19,3.38,Antes
Switzerland,2017,9.34,7.71,10.96,3.25,Antes
Switzerland,2018,9.29,7.7,11.03,3.32,Antes
Switzerland,2019,9.24,7.58,10.76,3.18,Antes
Switzerland,2020,9.26,7.8,10.91,3.11,Durante
Switzerland,2022,9.16,7.68,10.87,3.19,Después
Ukraine,2016,8.99,7.3,10.89,3.59,Antes
Ukraine,2017,8.76,6.96,10.58,3.62,Antes
Ukraine,2018,8.74,6.77,10.53,3.76,Antes
Ukraine,2019,8.99,7.21,10.83,3.62,Antes
Ukraine,2020,8.44,6.63,10.18,3.54,Durante
Ukraine,2022,7.43,5.69,9.11,3.42,Después
United Kingdom,2016,10.59,8.92,12.53,3.61,Antes
United Kingdom,2017,10.71,9.05,12.42,3.37,Antes
United Kingdom,2018,10.77,9.09,12.51,3.41,Antes
United Kingdom,2019,10.74,9.12,12.45,3.33,Antes
United Kingdom,2020,10.79,9.03,12.59,3.56,Durante
United Kingdom,2022,10.86,9.2,12.56,3.36,Después
